"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1801622299088666757","Sat Jun 15 08:16:16 +0000 2024","1","@Kanseulir Hrsnya dihapus! Koar2 sdh bawa investor Triliunan ke IKN taunya zonk bodong.. @bkpm","1801891459010019513","","Kanseulir","in","LA MER","0","0","1","https://x.com/Juliet_Mike_99/status/1801891459010019513","42209125","Juliet_Mike_99"
"1801891362805322064","Sat Jun 15 08:15:53 +0000 2024","0","ternyata investor ikn pindah ke solo.","1801891362805322064","","","in","Menteng, Indonesia","0","0","0","https://x.com/podo_radong1/status/1801891362805322064","1604130313021820929","podo_radong1"
"1801891141152838093","Sat Jun 15 08:15:00 +0000 2024","7","Rocky Gerung Prediksi Prabowo Pilih Beri Makan Rakyat Ketimbang IKN Sinyal 'Perang' Lawan Jokowi? https://t.co/I7PzgIiOD3","1801891141152838093","","","in","Indonesia","0","0","1","https://x.com/democrazymedia/status/1801891141152838093","1243804423001763841","democrazymedia"
"1801890986857009418","Sat Jun 15 08:14:23 +0000 2024","0","Alat transportasi mada depan IKN gaes https://t.co/hVwJEpbNT0","1801890986857009418","https://pbs.twimg.com/media/GQGaTKhaQAMZmbI.jpg","","in","Bengkulu, Indonesia","0","0","0","https://x.com/p_putam/status/1801890986857009418","1564539895770533889","p_putam"
"1801839597493657933","Sat Jun 15 08:13:57 +0000 2024","0","@agnessintiaa Proyek IKN Nusantara mendukung transformasi ekonomi Indonesia ke arah digitalisasi","1801890877192999154","","agnessintiaa","in","","0","0","0","https://x.com/aqiela_minha/status/1801890877192999154","1697451817079316480","aqiela_minha"
"1801890837892317314","Sat Jun 15 08:13:47 +0000 2024","2","KemenPUPR pastikan air pasokan listrik jaringan gas hingga jaringan internet sudah tersedia di IKN sebelum 17 Agustus 2024. Seperti diketahui pada 17 Agustus 2024 akan dilakukan upacara di IKN dalam rangka merayakan hari kemerdekaan Indonesia. https://t.co/OJAAQ6HhJu","1801890837892317314","","","in","","0","0","1","https://x.com/jari_droid/status/1801890837892317314","1486631613932834819","jari_droid"
"1801858987924815989","Sat Jun 15 08:13:12 +0000 2024","1","@Adiprayitno_20 Tondo tondo IKN bukan prioritas makan gratis di sekolah industrialisasi mineral Indonesia pembangunan pertanian dan pembangunan sumberdaya manusia peningkatan kualitas SDM di bidang STEM Bang @Adiprayitno_20","1801890691158856064","","Adiprayitno_20","in","","0","0","0","https://x.com/Didi_margo/status/1801890691158856064","1603600431825186816","Didi_margo"
"1801738550481916268","Sat Jun 15 08:13:04 +0000 2024","0","@KoalisiNetizen Kerjasama Membangun IKN dengan Motorola bikin IKN Nusantara jadi kota aman #DukungPembangunanIKN","1801890654798164476","","KoalisiNetizen","in","","0","0","0","https://x.com/imah_sukiyah6/status/1801890654798164476","1693465723614715906","imah_sukiyah6"
"1800848585086599275","Sat Jun 15 08:13:03 +0000 2024","0","@kegblgnunfaedh Yang di bilang itu bener kan... IKN - ibukota korupsi nepotisme Emang buat siapa maaf di IKN gak kos kosan rumah kontrakan semua cuma buat yg punya duit...","1801890650121716203","","kegblgnunfaedh","in","Denpasar Selatan, Indonesia","0","0","0","https://x.com/aderahm90872977/status/1801890650121716203","1550199674853675008","aderahm90872977"
"1801738550481916268","Sat Jun 15 08:12:51 +0000 2024","0","@KoalisiNetizen Kemajuan yang pesat lapangan upacara IKN 90% selesai","1801890601379762417","","KoalisiNetizen","in","","0","0","0","https://x.com/candra_diky004/status/1801890601379762417","1681940300493910016","candra_diky004"
"1801890546085961926","Sat Jun 15 08:12:38 +0000 2024","0","Konsep transportasi di IKN berbasis kendaraan listrik. #IbuKotaNegaraNusantara #IKNNusantara #IndonesiaEmas2045 #IKNKotaModern #IKN #IndonesiaMaju #SmartDefenseSystem https://t.co/3ooAIhrPTH","1801890546085961926","https://pbs.twimg.com/media/GQGZ5X0bEAA7rdl.jpg","","in","","0","0","0","https://x.com/adiputr33044242/status/1801890546085961926","1635152895791493121","adiputr33044242"
"1801738550481916268","Sat Jun 15 08:11:37 +0000 2024","0","@KoalisiNetizen Luar biasa kerja sama Motorola untuk keamanan di IKN Nusantara","1801890289973661918","","KoalisiNetizen","in","","0","0","0","https://x.com/jeremy_radinan/status/1801890289973661918","1699328116240572416","jeremy_radinan"
"1801890269086028240","Sat Jun 15 08:11:32 +0000 2024","0","M4TI AJA LU SUPPORTER 02 Ya allah sebagai anak politik lulusan hubungan internasional yg dulu kerjaannya baca jurnal dan nulis esay ekonomi internasional Indonesia ini udah lost cause Rupiah turun IKN makan siang gratis nepotisme korupsi. Semua aja lo embat","1801890269086028240","","","in","holy water 24/7","0","1","0","https://x.com/suitonjutsu02/status/1801890269086028240","719783024762753024","suitonjutsu02"
"1801858987924815989","Sat Jun 15 08:11:26 +0000 2024","5","@Adiprayitno_20 Ya alhamdulillah kalo candi IKN ga dilanjutin masa rakyat harus nanggung biaya makan siang gratis sama candi IKN nya jokowi","1801890243760820498","","Adiprayitno_20","in","","0","0","0","https://x.com/4nti_koruptor/status/1801890243760820498","1604287522959372290","4nti_koruptor"
"1801552807901958329","Sat Jun 15 08:10:51 +0000 2024","0","@Dennysiregar7 Yg akan terjadi : belanja negara akan dikurangi proyek akan dikurangi (termasuk ikn mkn akan mandek) pns nggak ada uang masuk dagangan akan sepi. Semua demi bayar hutang negara yg akan jatuh tempo","1801890098256220439","","Dennysiregar7","in","","0","0","0","https://x.com/amiruddintambu1/status/1801890098256220439","896678348180439040","amiruddintambu1"
"1801890066496983378","Sat Jun 15 08:10:44 +0000 2024","0","Konsep transportasi di IKN berbasis kendaraan listrik. #IbuKotaNegaraNusantara #IKNNusantara #IndonesiaEmas2045 #IKNKotaModern #IKN #IndonesiaMaju #SmartDefenseSystem https://t.co/xntAIXF9ea","1801890066496983378","https://pbs.twimg.com/media/GQGZdsmawAAu8N-.jpg","","in","","0","0","0","https://x.com/dennysaputrai/status/1801890066496983378","1635136049453355008","dennysaputrai"
"1801839357793603648","Sat Jun 15 08:09:16 +0000 2024","0","@agnessintiaa Pindahnya IKN ke Kalimantan dapat berdampak positif terhadap pertumbuhan ekonomi negara","1801889698123501839","","agnessintiaa","in","","0","0","0","https://x.com/harist_virza/status/1801889698123501839","1697113209562632192","harist_virza"
"1801889402131779869","Sat Jun 15 08:08:05 +0000 2024","0","Progres pembangunan bandara di IKN Nusantara terus berjalan saat ini landasan pacu atau runway bandara sudah mulai diaspal. Selain itu uji coba kereta tanpa rel #IbuKotaNegaraNusantara #IKNNusantara #IndonesiaEmas2045 #IKNKotaModern #IKN #IndonesiaMaju #SmartDefenseSystem https://t.co/SrpYLdRxPh","1801889402131779869","https://pbs.twimg.com/media/GQGY3LUbEAEmMCA.jpg","","in","","0","0","0","https://x.com/ud24185000/status/1801889402131779869","1661896883483316225","ud24185000"
"1801889368249971014","Sat Jun 15 08:07:57 +0000 2024","0","Progres pembangunan bandara di IKN Nusantara terus berjalan saat ini landasan pacu atau runway bandara sudah mulai diaspal. Selain itu uji coba kereta tanpa rel #IbuKotaNegaraNusantara #IKNNusantara #IndonesiaEmas2045 #IKNKotaModern #IKN #IndonesiaMaju #SmartDefenseSystem https://t.co/4HxEBBlbfI","1801889368249971014","https://pbs.twimg.com/media/GQGY1NNakAAzHrE.jpg","","in","","0","0","0","https://x.com/ud24185000/status/1801889368249971014","1661896883483316225","ud24185000"
"1801889365519638574","Sat Jun 15 08:07:56 +0000 2024","54","IKN TERANCAM MANGKRAK... PROYEK KEBANGGAAN JOKOWI TERANCAM MANGKRAK INVESTASI ASING NIHIL DAN APBN MULAI NGOS-NGOSAN....‼️ #BongkarKorupsi2Bocil #BongkarKorupsi2Bocil 🆘🆗 https://t.co/7RueoCBSuk","1801889365519638574","https://pbs.twimg.com/ext_tw_video_thumb/1801889338823000064/pu/img/Ne5zX-5uoksec23Y.jpg","","in","","13","16","41","https://x.com/secr3thm4nz56/status/1801889365519638574","1412374538722058244","secr3thm4nz56"
"1801769119668388125","Sat Jun 15 08:07:33 +0000 2024","1","@C4k_D3pp pertanda anggota DPR minta pindah ke ikn","1801889267364598137","","C4k_D3pp","in","Menteng, Indonesia","0","0","0","https://x.com/podo_radong1/status/1801889267364598137","1604130313021820929","podo_radong1"
"1801889250021150810","Sat Jun 15 08:07:29 +0000 2024","0","Progres pembangunan bandara di IKN Nusantara terus berjalan saat ini landasan pacu atau runway bandara sudah mulai diaspal. Selain itu uji coba kereta tanpa rel #IbuKotaNegaraNusantara #IKNNusantara #IndonesiaEmas2045 #IKNKotaModern #IKN #IndonesiaMaju #SmartDefenseSystem https://t.co/XMWzTFk5PW","1801889250021150810","https://pbs.twimg.com/media/GQGYuUYa4AAluX9.jpg","","in","","0","0","0","https://x.com/ud24185000/status/1801889250021150810","1661896883483316225","ud24185000"
"1801483206409208084","Sat Jun 15 08:07:19 +0000 2024","0","@basuki_btp Pilkada Jakarta Sumut menteri komisaris atau ketua otorita IKN?","1801889208396877845","","basuki_btp","in","","0","0","0","https://x.com/SahabathtJ/status/1801889208396877845","884709186705039360","SahabathtJ"
"1801574620228948107","Sat Jun 15 08:07:00 +0000 2024","0","@KukoGemaz @narkosun IKN dekat sm teluk balikpapan pas pinggirnya...","1801889128759345337","","KukoGemaz","in","","0","0","0","https://x.com/ElMarshall123/status/1801889128759345337","1487401994000400384","ElMarshall123"
"1801889043279667592","Sat Jun 15 08:06:40 +0000 2024","1","Hehehe...kok baru sekarang Pak @jokowi? Selama ini sibuk memikirkan lay-out tempat duduknya lapangan upacara 17 Agustus di #IKN dengan @kemkominfo yah? ️ Cc: @Kiyai_MarufAmin @setkabgoid @PolhukamRI #Indonesia #NKRI","1801889043279667592","","","in","Jakarta, Indonesia","0","0","0","https://x.com/Adhi_Faiz/status/1801889043279667592","131439573","Adhi_Faiz"
"1801809257358364701","Sat Jun 15 07:56:46 +0000 2024","1","@Almudattsir @mas_veel IKM apa IKN @Almudattsir mencla mencle aja..pagi tahu siang dele...ambyaaarrr kaleng krupuk...hahahhaa","1801886552433508447","","Almudattsir","in","","0","1","0","https://x.com/MIrvanDarwin1/status/1801886552433508447","959232692133875712","MIrvanDarwin1"
